"","i","mean_dist_to_grocery","median_dist_to_grocery","max_dist_to_grocery","min_dist_to_grocery","quartiles_dist_to_grocery_25p","quartiles_dist_to_grocery_50p","quartiles_dist_to_grocery_75p","n_from_pnts","n_from_pnts_no_path"
"366",366,1328.10903261572,1345.26962692421,1835.98323571977,808.667574286881,1149.42892723348,1345.26962692421,1507.43841348959,64,0
"367",367,759.641582455895,820.413028308642,1181.30152201929,232.841662470997,557.506240203444,820.413028308642,953.216356603781,34,0
"368",368,2028.36849661917,2130.42016667103,3292.45194066062,120.875078099864,1604.00786350002,2130.42016667103,2563.25504417781,253,0
"369",369,1550.20735955913,1565.92246297142,2043.06340629693,1152.9984473557,1374.02022784641,1565.92246297142,1728.18453890726,28,0
"370",370,1775.96760208131,1740.3927471496,2279.94422994729,1392.53712764758,1620.39863598928,1740.3927471496,1937.82847857311,32,0
"371",371,1112.74557348381,1106.31339896148,1635.70584026878,650.334346672738,961.539964324063,1106.31339896148,1233.72964395795,25,0
"372",372,1003.29766278749,1012.7038438588,1366.33142279394,502.394261644526,869.534721883491,1012.7038438588,1168.43216532159,48,0
"373",373,1003.86130210496,1035.08151259528,1616.17108591171,107.125235422963,770.336868486196,1035.08151259528,1299.12674516782,104,0
"374",374,1175.85757088538,1165.89114074365,1569.1911488129,762.261169026404,1008.93165590005,1165.89114074365,1343.53495464205,18,0
"375",375,533.209037437213,503.909438310826,1003.44784054842,71.3220900163329,356.412434798036,503.909438310826,722.232713535451,32,0
"376",376,615.501179778205,604.441618537501,1322.22435908565,0,444.576269939895,604.441618537501,752.399127879387,117,0
"377",377,1437.03478769478,1445.7058498428,2107.00988257353,834.484714698128,1252.19289289625,1445.7058498428,1576.86667888186,48,0
"378",378,720.047653980607,737.104284459327,1315.39276736077,62.1417856600774,488.384191189879,737.104284459327,982.683422475406,96,0
"379",379,854.304374964261,886.903328693402,1094.05986315397,543.424647344457,772.326846054951,886.903328693402,938.78533876436,32,0
"380",380,2302.89151338671,2334.55612125496,2665.23414693022,1852.0369367608,2156.83072486655,2334.55612125496,2448.2234905359,67,0
"381",381,1212.00056858731,1191.74723972874,1415.65503240071,977.463061658225,1138.76078195208,1191.74723972874,1346.44755005563,16,0
"382",382,1146.58809990559,1149.30752957971,1529.61245780645,692.880282186677,1032.77085002489,1149.30752957971,1336.62879127531,23,0
"383",383,901.487863833376,888.387436533894,1313.92648344002,515.420237977024,770.049070295246,888.387436533894,972.621952703664,36,0
"384",384,1175.47945019989,1157.23486964521,2698.84266698257,506.558858292917,781.430389693669,1157.23486964521,1355.95016486728,30,0
"385",385,677.668677034202,632.105362314921,2725.71641890936,120.989151150626,412.724574657435,632.105362314921,883.16785829915,54,0
"386",386,841.985103455296,862.116365529643,2204.48687163445,46.9597519371662,537.411926949035,862.116365529643,1110.93195331885,232,0
"387",387,1373.14057820864,1387.46634807259,3082.07314460348,0,867.530159510791,1387.46634807259,1846.0878309561,285,0
"388",388,1250.60779304277,1202.02798227157,2392.96981914997,198.526808310347,848.706379107219,1202.02798227157,1561.09716364693,132,0
"389",389,598.497728409936,591.738949260859,1200.5933851368,143.017229182564,361.691907500653,591.738949260859,795.570975797727,64,0
"390",390,704.214386235085,674.823198604064,1531.30884555639,0,464.104958158484,674.823198604064,931.905869484365,256,4
"391",391,1740.51170639464,1768.64067951112,2222.93863213577,1149.19162224283,1482.79718815785,1768.64067951112,2034.88167004394,43,0
"392",392,728.306562670198,757.148321747047,1197.42473544139,159.901744610758,541.200100195554,757.148321747047,948.374609775427,48,0
"393",393,596.0831296535,651.446041709977,1181.16373239973,99.8188748952863,454.825514361694,651.446041709977,759.254794434691,96,0
"394",394,1004.93374741862,998.544479154988,1566.84410256311,445.820626624857,806.095326941787,998.544479154988,1210.74304412468,128,0
"395",395,1707.25063464329,1718.03901556344,2444.69089540936,1090.13244362555,1538.79531246789,1718.03901556344,1886.61859831061,64,0
"396",396,493.165831582694,495.714121925076,749.061642031865,215.524027674191,435.522778518273,495.714121925076,577.985444261363,20,0
"397",397,472.925149965324,466.736085397216,933.220788451649,38.4148993806991,264.06999721172,466.736085397216,653.212709092414,64,0
"398",398,1236.07527178948,1260.03171309212,1723.82037588993,611.027497418995,1059.70291067874,1260.03171309212,1448.81261661478,63,0
"399",399,966.218662923436,949.928534779409,3040.63182823898,120.040816691822,694.918297342903,949.928534779409,1205.92715086715,84,0
"400",400,1477.26195762674,1572.93077129326,2321.47056930261,164.500189033065,1314.77308501367,1572.93077129326,1772.89862811231,152,0
"401",401,542.928678548262,541.400523954589,942.888756415575,51.1755706525544,384.863524061165,541.400523954589,742.54309002112,40,0
"402",402,819.755895193611,859.904852999365,1516.14295211297,143.017294175959,581.785553725755,859.904852999365,1022.16498976989,64,0
"403",403,1393.84998827963,1424.72852173951,1870.32616929554,915.933971761642,1310.90343137372,1424.72852173951,1536.89937202783,64,0
"404",404,715.161174872344,726.710361482179,885.378445690367,482.645049273078,615.28167520162,726.710361482179,835.482670879115,16,0
"405",405,425.877443958587,397.635775103364,756.517698133156,152.93003943197,300.855711718165,397.635775103364,552.099388101392,25,0
"406",406,557.241734413059,558.391123523116,1022.84479615303,100.49122107451,356.651799836683,558.391123523116,756.77003801196,57,0
"407",407,1741.66744166865,1619.80340170523,3629.05265795194,318.37005192873,1050.10784177762,1619.80340170523,2242.72210181952,128,0
